,gene_id,gene_name,gene_ontology
74,b0330,prpR,sequence-specific DNA binding
75,b0330,prpR,phosphorelay signal transduction system
76,b0330,prpR,phosphorelay signal transduction system
77,b0330,prpR,regulation of DNA-templated transcription
78,b0330,prpR,"propionate catabolic process, 2-methylcitrate cycle"
79,b0330,prpR,cytoplasm
80,b4132,cadB,cadaverine transport
81,b4132,cadB,cadaverine transport
82,b4132,cadB,L-lysine transmembrane transport
83,b4132,cadB,cellular stress response to acidic pH
84,b4132,cadB,symporter activity
85,b4132,cadB,solute:proton symporter activity
86,b4132,cadB,antiporter activity
87,b4132,cadB,antiporter activity
88,b4132,cadB,transmembrane transporter activity
89,b4132,cadB,lysine:cadaverine antiporter activity
90,b4132,cadB,amino acid transport
91,b4132,cadB,amino acid transport
92,b4132,cadB,transmembrane transport
93,b4132,cadB,proton transmembrane transport
94,b4132,cadB,plasma membrane
95,b4132,cadB,plasma membrane
96,b4132,cadB,plasma membrane
97,b4132,cadB,plasma membrane
98,b4132,cadB,plasma membrane
99,b4132,cadB,plasma membrane
100,b4132,cadB,membrane
101,b4132,cadB,membrane
102,b4132,cadB,membrane
103,b1605,ydgI,antiporter activity
104,b1605,ydgI,transmembrane transporter activity
105,b1605,ydgI,amino acid transport
106,b1605,ydgI,amino acid transport
107,b1605,ydgI,transmembrane transport
108,b1605,ydgI,plasma membrane
109,b1605,ydgI,plasma membrane
110,b1605,ydgI,plasma membrane
111,b1605,ydgI,plasma membrane
112,b1605,ydgI,membrane
113,b1605,ydgI,membrane
114,b0402,proY,amino acid transport
115,b0402,proY,amino acid transport
116,b0402,proY,transmembrane transport
117,b0402,proY,plasma membrane
118,b0402,proY,plasma membrane
119,b0402,proY,plasma membrane
120,b0402,proY,plasma membrane
121,b0402,proY,plasma membrane
122,b0402,proY,plasma membrane
123,b0402,proY,membrane
124,b0402,proY,membrane
125,b0402,proY,amino acid transmembrane transporter activity
126,b0402,proY,amino acid transmembrane transport
127,b4208,cycA,beta-alanine transport
128,b4208,cycA,L-alanine transport
129,b4208,cycA,glycine transport
130,b4208,cycA,D-alanine transport
131,b4208,cycA,D-serine transport
132,b4208,cycA,beta-alanine transmembrane transporter activity
133,b4208,cycA,L-alanine transmembrane transporter activity
134,b4208,cycA,glycine transmembrane transporter activity
135,b4208,cycA,symporter activity
136,b4208,cycA,D-alanine transmembrane transporter activity
137,b4208,cycA,D-serine transmembrane transporter activity
138,b4208,cycA,amino acid transport
139,b4208,cycA,amino acid transport
140,b4208,cycA,transmembrane transport
141,b4208,cycA,plasma membrane
142,b4208,cycA,plasma membrane
143,b4208,cycA,plasma membrane
144,b4208,cycA,plasma membrane
145,b4208,cycA,plasma membrane
146,b4208,cycA,plasma membrane
147,b4208,cycA,plasma membrane
148,b4208,cycA,membrane
149,b4208,cycA,membrane
150,b3030,parE,sister chromatid cohesion
151,b3030,parE,plasmid partitioning
152,b3030,parE,chromosome organization
153,b3030,parE,nucleotide binding
154,b3030,parE,DNA binding
155,b3030,parE,DNA binding
156,b3030,parE,DNA binding
157,b3030,parE,DNA topoisomerase activity
158,b3030,parE,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
159,b3030,parE,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
160,b3030,parE,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
161,b3030,parE,protein binding
162,b3030,parE,protein binding
163,b3030,parE,ATP binding
164,b3030,parE,ATP binding
165,b3030,parE,ATP binding
166,b3030,parE,isomerase activity
167,b3030,parE,metal ion binding
168,b3030,parE,DNA topological change
169,b3030,parE,DNA topological change
170,b3030,parE,chromosome segregation
171,b3030,parE,response to antibiotic
172,b3030,parE,chromosome organization
173,b3030,parE,chromosome
174,b3030,parE,cytosol
175,b3030,parE,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"
176,b3030,parE,DNA topological change
177,b3030,parE,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
178,b1725,yniA,nucleotide binding
179,b1725,yniA,ATP binding
180,b1725,yniA,kinase activity
181,b1725,yniA,transferase activity
182,b1725,yniA,phosphorylation
183,b1725,yniA,kinase activity
184,b1247,oppF,nucleotide binding
185,b1247,oppF,nucleotide binding
186,b1247,oppF,ATP binding
187,b1247,oppF,ATP binding
188,b1247,oppF,ATP binding
189,b1247,oppF,ATP hydrolysis activity
190,b1247,oppF,protein transport
191,b1247,oppF,peptide transport
192,b1247,oppF,peptide transport
193,b1247,oppF,oligopeptide import across plasma membrane
194,b1247,oppF,tripeptide import across plasma membrane
195,b1247,oppF,plasma membrane
196,b1247,oppF,plasma membrane
197,b1247,oppF,plasma membrane
198,b1247,oppF,plasma membrane
199,b1247,oppF,membrane
200,b1247,oppF,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
201,b1247,oppF,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
202,b0318,yahD,response to radiation
203,b0419,yajO,thiamine metabolic process
204,b0419,yajO,oxidoreductase activity
205,b0419,yajO,oxidoreductase activity
206,b0419,yajO,cytosol
207,b0419,yajO,cytosol
208,b2492,focB,mixed acid fermentation
209,b2492,focB,transmembrane transporter activity
210,b2492,focB,transmembrane transport
211,b2492,focB,plasma membrane
212,b2492,focB,plasma membrane
213,b2492,focB,plasma membrane
214,b2492,focB,plasma membrane
215,b2492,focB,plasma membrane
216,b2492,focB,membrane
217,b2492,focB,membrane
218,b2492,focB,formate transport
219,b2492,focB,formate transmembrane transporter activity
220,b0875,aqpZ,water transport
221,b0875,aqpZ,water transport
222,b0875,aqpZ,water transport
223,b0875,aqpZ,response to osmotic stress
224,b0875,aqpZ,response to osmotic stress
225,b0875,aqpZ,intracellular water homeostasis
226,b0875,aqpZ,intracellular water homeostasis
227,b0875,aqpZ,protein binding
228,b0875,aqpZ,water channel activity
229,b0875,aqpZ,water channel activity
230,b0875,aqpZ,water channel activity
231,b0875,aqpZ,water channel activity
232,b0875,aqpZ,water channel activity
233,b0875,aqpZ,channel activity
234,b0875,aqpZ,identical protein binding
235,b0875,aqpZ,identical protein binding
236,b0875,aqpZ,identical protein binding
237,b0875,aqpZ,identical protein binding
238,b0875,aqpZ,identical protein binding
239,b0875,aqpZ,identical protein binding
240,b0875,aqpZ,water transport
241,b0875,aqpZ,water transport
242,b0875,aqpZ,transmembrane transport
243,b0875,aqpZ,plasma membrane
244,b0875,aqpZ,plasma membrane
245,b0875,aqpZ,plasma membrane
246,b0875,aqpZ,plasma membrane
247,b0875,aqpZ,plasma membrane
248,b0875,aqpZ,plasma membrane
249,b0875,aqpZ,plasma membrane
250,b0875,aqpZ,membrane
251,b0875,aqpZ,membrane
252,b0875,aqpZ,water channel activity
253,b0875,aqpZ,plasma membrane
254,b0875,aqpZ,water transport
255,b0505,allA,ureidoglycolate hydrolase activity
256,b0505,allA,lyase activity
257,b0505,allA,ureidoglycolate lyase activity
258,b0505,allA,ureidoglycolate lyase activity
259,b0505,allA,ureidoglycolate lyase activity
260,b0505,allA,ureidoglycolate lyase activity
261,b0505,allA,ureidoglycolate lyase activity
262,b0505,allA,ureidoglycolate lyase activity
263,b0505,allA,ureidoglycolate lyase activity
264,b0505,allA,allantoin catabolic process
265,b0505,allA,allantoin catabolic process
266,b0505,allA,allantoin catabolic process
267,b0505,allA,purine nucleobase metabolic process
268,b0505,allA,purine nucleobase catabolic process
269,b0505,allA,ureidoglycolate lyase activity
270,b1439,ydcR,DNA binding
271,b1439,ydcR,DNA-binding transcription factor activity
272,b1439,ydcR,catalytic activity
273,b1439,ydcR,catalytic activity
274,b1439,ydcR,transaminase activity
275,b1439,ydcR,transferase activity
276,b1439,ydcR,pyridoxal phosphate binding
277,b1439,ydcR,regulation of DNA-templated transcription
278,b1439,ydcR,biosynthetic process
279,b1439,ydcR,transaminase activity
280,b1439,ydcR,alpha-amino acid metabolic process
281,b3116,tdcC,amino acid transport
282,b3116,tdcC,L-serine transport
283,b3116,tdcC,threonine transport
284,b3116,tdcC,amino acid transmembrane transporter activity
285,b3116,tdcC,amino acid transmembrane transporter activity
286,b3116,tdcC,L-serine transmembrane transporter activity
287,b3116,tdcC,L-threonine transmembrane transporter activity
288,b3116,tdcC,symporter activity
289,b3116,tdcC,symporter activity
290,b3116,tdcC,solute:proton symporter activity
291,b3116,tdcC,threonine efflux transmembrane transporter activity
292,b3116,tdcC,serine transmembrane transporter activity
293,b3116,tdcC,amino acid transmembrane transport
294,b3116,tdcC,amino acid transport
295,b3116,tdcC,amino acid transport
296,b3116,tdcC,amino acid transport
297,b3116,tdcC,threonine transport
298,b3116,tdcC,serine transport
299,b3116,tdcC,proton transmembrane transport
300,b3116,tdcC,plasma membrane
301,b3116,tdcC,plasma membrane
302,b3116,tdcC,plasma membrane
303,b3116,tdcC,plasma membrane
304,b3116,tdcC,plasma membrane
305,b3116,tdcC,plasma membrane
306,b3116,tdcC,membrane
307,b3116,tdcC,membrane
308,b3116,tdcC,membrane
309,b2796,sdaC,L-serine transport
310,b2796,sdaC,amino acid transmembrane transporter activity
311,b2796,sdaC,L-serine transmembrane transporter activity
312,b2796,sdaC,symporter activity
313,b2796,sdaC,amino acid transmembrane transport
314,b2796,sdaC,amino acid transport
315,b2796,sdaC,amino acid transport
316,b2796,sdaC,plasma membrane
317,b2796,sdaC,plasma membrane
318,b2796,sdaC,plasma membrane
319,b2796,sdaC,plasma membrane
320,b2796,sdaC,plasma membrane
321,b2796,sdaC,membrane
322,b2796,sdaC,membrane
323,b1907,tyrP,aromatic amino acid transmembrane transporter activity
324,b1907,tyrP,symporter activity
325,b1907,tyrP,amino acid transmembrane transport
326,b1907,tyrP,amino acid transport
327,b1907,tyrP,aromatic amino acid transport
328,b1907,tyrP,plasma membrane
329,b1907,tyrP,plasma membrane
330,b1907,tyrP,plasma membrane
331,b1907,tyrP,plasma membrane
332,b1907,tyrP,plasma membrane
333,b1907,tyrP,membrane
334,b3161,mtr,aromatic amino acid transmembrane transporter activity
335,b3161,mtr,L-tryptophan transmembrane transporter activity
336,b3161,mtr,symporter activity
337,b3161,mtr,amino acid transmembrane transport
338,b3161,mtr,amino acid transport
339,b3161,mtr,aromatic amino acid transport
340,b3161,mtr,tryptophan transport
341,b3161,mtr,tryptophan transport
342,b3161,mtr,plasma membrane
343,b3161,mtr,plasma membrane
344,b3161,mtr,plasma membrane
345,b3161,mtr,plasma membrane
346,b3161,mtr,plasma membrane
347,b3161,mtr,plasma membrane
348,b3161,mtr,plasma membrane
349,b3161,mtr,membrane
350,b3144,yraJ,DNA damage response
351,b3144,yraJ,fimbrial usher porin activity
352,b3144,yraJ,pilus assembly
353,b3144,yraJ,transmembrane transport
354,b3144,yraJ,cell outer membrane
355,b3144,yraJ,cell outer membrane
356,b3144,yraJ,membrane
357,b3144,yraJ,membrane
358,b3144,yraJ,pilus assembly
359,b3144,yraJ,fimbrial usher porin activity
360,b3144,yraJ,cell outer membrane
361,b3143,yraI,chaperone-mediated protein folding
362,b3143,yraI,cell wall organization
363,b3143,yraI,outer membrane-bounded periplasmic space
364,b3143,yraI,periplasmic space
365,b3143,yraI,periplasmic space
366,b3142,yraH,cell adhesion
367,b3142,yraH,cell adhesion
368,b3142,yraH,pilus
369,b3142,yraH,pilus
370,b3142,yraH,pilus
371,b3142,yraH,pilus
372,b3142,yraH,cell adhesion involved in single-species biofilm formation
373,b3142,yraH,pilus organization
374,b3141,agaI,glucosamine-6-phosphate deaminase activity
375,b3141,agaI,hydrolase activity
376,b3141,agaI,galactosamine-6-phosphate isomerase activity
377,b3141,agaI,carbohydrate metabolic process
378,b3141,agaI,N-acetylglucosamine metabolic process
379,b3141,agaI,cytoplasm
380,b3141,agaI,cytosol
381,b3141,agaI,identical protein binding
382,b3141,agaI,N-acetylglucosamine catabolic process
383,b3141,agaI,glucosamine-6-phosphate deaminase activity
384,b3141,agaI,glucosamine catabolic process
385,b3141,agaI,N-acetylneuraminate catabolic process
386,b3140,agaD,carbohydrate transport
387,b3140,agaD,phosphoenolpyruvate-dependent sugar phosphotransferase system
388,b3140,agaD,phosphoenolpyruvate-dependent sugar phosphotransferase system
389,b3140,agaD,plasma membrane
390,b3140,agaD,plasma membrane
391,b3140,agaD,plasma membrane
392,b3140,agaD,plasma membrane
393,b3140,agaD,membrane
394,b3140,agaD,membrane
395,b3140,agaD,phosphoenolpyruvate-dependent sugar phosphotransferase system
396,b3139,agaC,carbohydrate transport
397,b3139,agaC,phosphoenolpyruvate-dependent sugar phosphotransferase system
398,b3139,agaC,phosphoenolpyruvate-dependent sugar phosphotransferase system
399,b3139,agaC,plasma membrane
400,b3139,agaC,plasma membrane
401,b3139,agaC,plasma membrane
402,b3139,agaC,plasma membrane
403,b3139,agaC,membrane
404,b3139,agaC,membrane
405,b3139,agaC,phosphoenolpyruvate-dependent sugar phosphotransferase system
406,b1770,ydjF,DNA binding
407,b1770,ydjF,DNA-binding transcription factor activity
408,b1770,ydjF,protein binding
409,b1770,ydjF,regulation of DNA-templated transcription
410,b2528,iscA,iron-sulfur cluster assembly
411,b2528,iscA,iron ion binding
412,b2528,iscA,protein binding
413,b2528,iscA,protein binding
414,b2528,iscA,protein binding
415,b2528,iscA,protein binding
416,b2528,iscA,ferrous iron binding
417,b2528,iscA,iron chaperone activity
418,b2528,iscA,iron chaperone activity
419,b2528,iscA,metal ion binding
420,b2528,iscA,iron-sulfur cluster binding
421,b2528,iscA,"2 iron, 2 sulfur cluster binding"
422,b2528,iscA,"2 iron, 2 sulfur cluster binding"
423,b2528,iscA,iron-sulfur cluster assembly
424,b2528,iscA,iron-sulfur cluster assembly
425,b2528,iscA,iron-sulfur cluster assembly
426,b2528,iscA,iron-sulfur cluster assembly
427,b2528,iscA,cytosol
428,b2528,iscA,cytosol
429,b2528,iscA,iron-sulfur cluster transfer complex
430,b2528,iscA,protein maturation by iron-sulfur cluster transfer
431,b2528,iscA,iron-sulfur cluster assembly
432,b2528,iscA,"2 iron, 2 sulfur cluster binding"
433,b2528,iscA,cytosol
434,b2528,iscA,cytoplasm
435,b0970,yccA,regulation of proteolysis
436,b0970,yccA,negative regulation of apoptotic process
437,b0970,yccA,plasma membrane
438,b0970,yccA,plasma membrane
439,b0970,yccA,plasma membrane
440,b0970,yccA,plasma membrane
441,b0970,yccA,plasma membrane
442,b0970,yccA,membrane
443,b0970,yccA,membrane
444,b0970,yccA,membrane
445,b0970,yccA,plasma membrane
446,b0786,ybhL,plasma membrane
447,b0786,ybhL,plasma membrane
448,b0786,ybhL,plasma membrane
449,b0786,ybhL,plasma membrane
450,b0786,ybhL,plasma membrane
451,b0786,ybhL,membrane
452,b0786,ybhL,plasma membrane
453,b1970,hiuH,protein homotetramerization
454,b1970,hiuH,hydrolase activity
455,b1970,hiuH,hydroxyisourate hydrolase activity
456,b1970,hiuH,hydroxyisourate hydrolase activity
457,b1970,hiuH,hydroxyisourate hydrolase activity
458,b1970,hiuH,hydroxyisourate hydrolase activity
459,b1970,hiuH,identical protein binding
460,b1970,hiuH,identical protein binding
461,b1970,hiuH,purine nucleobase metabolic process
462,b1970,hiuH,purine nucleobase metabolic process
463,b1970,hiuH,protein-containing complex
464,b1970,hiuH,periplasmic space
465,b1970,hiuH,periplasmic space
466,b1970,hiuH,purine nucleobase metabolic process
467,b3063,ttdT,antiporter activity
468,b3063,ttdT,antiporter activity
469,b3063,ttdT,transmembrane transporter activity
470,b3063,ttdT,transmembrane transport
471,b3063,ttdT,plasma membrane
472,b3063,ttdT,plasma membrane
473,b3063,ttdT,plasma membrane
474,b3063,ttdT,plasma membrane
475,b3063,ttdT,plasma membrane
476,b3063,ttdT,membrane
477,b3063,ttdT,membrane
478,b3063,ttdT,plasma membrane
479,b3063,ttdT,transporter activity
480,b4085,alsE,D-allose catabolic process
481,b4085,alsE,isomerase activity
482,b4085,alsE,"racemase and epimerase activity, acting on carbohydrates and derivatives"
483,b4085,alsE,allulose 6-phosphate 3-epimerase activity
484,b4085,alsE,allulose 6-phosphate 3-epimerase activity
485,b4085,alsE,allulose 6-phosphate 3-epimerase activity
486,b4085,alsE,allulose 6-phosphate 3-epimerase activity
487,b4085,alsE,metal ion binding
488,b4085,alsE,metal ion binding
489,b4085,alsE,metal ion binding
490,b4085,alsE,metal ion binding
491,b4085,alsE,carbohydrate metabolic process
492,b4085,alsE,carbohydrate metabolic process
493,b4085,alsE,carbohydrate metabolic process
494,b4085,alsE,D-allose catabolic process
495,b4085,alsE,D-allose catabolic process
496,b4085,alsE,metal ion binding
497,b4085,alsE,cytosol
498,b4085,alsE,D-ribulose-phosphate 3-epimerase activity
499,b4085,alsE,"pentose-phosphate shunt, non-oxidative branch"
500,b4084,alsK,D-allose catabolic process
501,b4084,alsK,nucleotide binding
502,b4084,alsK,glucokinase activity
503,b4084,alsK,ATP binding
504,b4084,alsK,ATP binding
505,b4084,alsK,allose kinase activity
506,b4084,alsK,allose kinase activity
507,b4084,alsK,allose kinase activity
508,b4084,alsK,allose kinase activity
509,b4084,alsK,kinase activity
510,b4084,alsK,transferase activity
511,b4084,alsK,carbohydrate kinase activity
512,b4084,alsK,carbohydrate metabolic process
513,b4084,alsK,phosphorylation
514,b4084,alsK,D-allose catabolic process
515,b4084,alsK,D-allose catabolic process
516,b4084,alsK,D-allose catabolic process
517,b4084,alsK,carbohydrate phosphorylation
518,b4084,alsK,carbohydrate phosphorylation
519,b4084,alsK,carbohydrate phosphorylation
520,b4084,alsK,glucose 6-phosphate metabolic process
521,b4084,alsK,hexokinase activity
522,b4394,yjjX,thiamine metabolic process
523,b4394,yjjX,nucleotide binding
524,b4394,yjjX,magnesium ion binding
525,b4394,yjjX,hydrolase activity
526,b4394,yjjX,ribonucleoside triphosphate phosphatase activity
527,b4394,yjjX,ribonucleoside triphosphate phosphatase activity
528,b4394,yjjX,protein homodimerization activity
529,b4394,yjjX,metal ion binding
530,b4394,yjjX,ITPase activity
531,b4394,yjjX,ITPase activity
532,b4394,yjjX,nucleotide metabolic process
533,b4394,yjjX,response to antibiotic
534,b4394,yjjX,thiamine metabolic process
535,b4394,yjjX,ribonucleoside triphosphate phosphatase activity
536,b4385,yjjJ,DNA binding
537,b4385,yjjJ,DNA binding
538,b4385,yjjJ,kinase activity
539,b4385,yjjJ,transferase activity
540,b4385,yjjJ,toxin activity
541,b4385,yjjJ,phosphorylation
542,b4385,yjjJ,modulation of process of another organism
543,b4385,yjjJ,protein serine/threonine kinase activity
544,b4385,yjjJ,cytosol
545,b3138,agaB,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
546,b3138,agaB,kinase activity
547,b3138,agaB,transferase activity
548,b3138,agaB,carbohydrate transport
549,b3138,agaB,phosphoenolpyruvate-dependent sugar phosphotransferase system
550,b3138,agaB,phosphoenolpyruvate-dependent sugar phosphotransferase system
551,b3138,agaB,phosphorylation
552,b3138,agaB,cytoplasm
553,b3138,agaB,cytoplasm
554,b3138,agaB,cytoplasm
555,b4080,mdtP,response to antibiotic
556,b4080,mdtP,efflux transmembrane transporter activity
557,b4080,mdtP,transmembrane transporter activity
558,b4080,mdtP,response to antibiotic
559,b4080,mdtP,transmembrane transport
560,b4080,mdtP,transmembrane transport
561,b4080,mdtP,cell outer membrane
562,b4080,mdtP,cell outer membrane
563,b4080,mdtP,cell outer membrane
564,b4080,mdtP,membrane
565,b4080,mdtP,membrane
566,b4080,mdtP,transporter complex
567,b4080,mdtP,transmembrane transporter activity
568,b4080,mdtP,transmembrane transport
569,b4080,mdtP,membrane
570,b3136,agaS,hydrolase activity
571,b3136,agaS,isomerase activity
572,b3136,agaS,carbohydrate derivative binding
573,b3136,agaS,carbohydrate derivative metabolic process
574,b3136,agaS,phosphoenolpyruvate-dependent sugar phosphotransferase system
575,b4076,nrfG,cytochrome c-heme linkage via heme-L-cysteine
576,b4076,nrfG,plasma membrane
585,b3133,agaV,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
586,b3133,agaV,kinase activity
587,b3133,agaV,transferase activity
588,b3133,agaV,carbohydrate transport
589,b3133,agaV,phosphoenolpyruvate-dependent sugar phosphotransferase system
590,b3133,agaV,phosphoenolpyruvate-dependent sugar phosphotransferase system
591,b3133,agaV,phosphorylation
592,b3133,agaV,cytoplasm
593,b3133,agaV,cytoplasm
594,b3133,agaV,cytoplasm
595,b0453,ybaY,protein binding
596,b0453,ybaY,protein binding
597,b0453,ybaY,protein binding
598,b0453,ybaY,plasma membrane
599,b0453,ybaY,plasma membrane
600,b0453,ybaY,membrane
601,b1312,ycjP,transmembrane transport
602,b1312,ycjP,transmembrane transport
603,b1312,ycjP,plasma membrane
604,b1312,ycjP,plasma membrane
605,b1312,ycjP,plasma membrane
606,b1312,ycjP,plasma membrane
607,b1312,ycjP,membrane
608,b1312,ycjP,membrane
609,b1312,ycjP,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
610,b0884,infA,RNA binding
611,b0884,infA,RNA binding
612,b0884,infA,translation initiation factor activity
613,b0884,infA,translation initiation factor activity
614,b0884,infA,translation initiation factor activity
615,b0884,infA,protein binding
616,b0884,infA,rRNA binding
617,b0884,infA,rRNA binding
618,b0884,infA,ribosome binding
619,b0884,infA,ribosome binding
620,b0884,infA,translation
621,b0884,infA,translational initiation
622,b0884,infA,translational initiation
623,b0884,infA,translational initiation
624,b0884,infA,cytoplasm
625,b0884,infA,cytoplasm
626,b0884,infA,cytoplasm
627,b0884,infA,cytosol
628,b0884,infA,ribosome binding
629,b0884,infA,cytosol
630,b0271,yagH,catalytic activity
631,b0271,yagH,"hydrolase activity, hydrolyzing O-glycosyl compounds"
632,b0271,yagH,"hydrolase activity, hydrolyzing O-glycosyl compounds"
633,b0271,yagH,"xylan 1,4-beta-xylosidase activity"
634,b0271,yagH,hydrolase activity
635,b0271,yagH,"hydrolase activity, acting on glycosyl bonds"
636,b0271,yagH,polysaccharide catabolic process
637,b0271,yagH,carbohydrate metabolic process
638,b0271,yagH,carbohydrate metabolic process
639,b0271,yagH,carbohydrate metabolic process
640,b0271,yagH,metabolic process
641,b0271,yagH,metabolic process
642,b0271,yagH,xylan catabolic process
643,b0443,fadM,fatty acid beta-oxidation
644,b0443,fadM,palmitoyl-CoA hydrolase activity
645,b0443,fadM,hydrolase activity
646,b0443,fadM,hydrolase activity
647,b0443,fadM,acyl-CoA hydrolase activity
648,b0443,fadM,myristoyl-CoA hydrolase activity
649,b0443,fadM,acyl-CoA hydrolase activity
650,b3923,uspD,response to superoxide
651,b3923,uspD,response to UV
652,b3923,uspD,response to starvation
653,b3923,uspD,protein homodimerization activity
654,b3923,uspD,cytoplasm
655,b3923,uspD,cytoplasm
656,b3923,uspD,cytosol
657,b1067,yceH,cytosol
658,b2042,galF,UTP:glucose-1-phosphate uridylyltransferase activity
659,b2042,galF,UTP:glucose-1-phosphate uridylyltransferase activity
660,b2042,galF,UTP:glucose-1-phosphate uridylyltransferase activity
661,b2042,galF,UTP:glucose-1-phosphate uridylyltransferase activity
662,b2042,galF,transferase activity
663,b2042,galF,nucleotidyltransferase activity
664,b2042,galF,nucleotidyltransferase activity
665,b2042,galF,nucleotidyltransferase activity
666,b2042,galF,enzyme regulator activity
667,b2042,galF,UDP-glucose metabolic process
668,b2042,galF,biosynthetic process
669,b2042,galF,lipopolysaccharide biosynthetic process
670,b2042,galF,lipopolysaccharide biosynthetic process
671,b2042,galF,nucleotide-sugar metabolic process
672,b2042,galF,cytosol
673,b2042,galF,cytosol
674,b4379,yjjW,catalytic activity
675,b4379,yjjW,protein binding
676,b4379,yjjW,protein binding
677,b4379,yjjW,protein binding
678,b4379,yjjW,oxidoreductase activity
679,b4379,yjjW,oxidoreductase activity
680,b4379,yjjW,metal ion binding
681,b4379,yjjW,iron-sulfur cluster binding
682,b4379,yjjW,iron-sulfur cluster binding
683,b4379,yjjW,"4 iron, 4 sulfur cluster binding"
684,b4379,yjjW,"4 iron, 4 sulfur cluster binding"
685,b4378,yjjV,protein binding
686,b4378,yjjV,hydrolase activity
687,b4378,yjjV,"hydrolase activity, acting on ester bonds"
688,b4378,yjjV,metal ion binding
689,b4378,yjjV,cytosol
690,b4377,yjjU,DNA damage response
691,b4377,yjjU,hydrolase activity
692,b4377,yjjU,lipid metabolic process
693,b4377,yjjU,lipid metabolic process
694,b4377,yjjU,lipid catabolic process
695,b4371,rsmC,nucleic acid binding
696,b4371,rsmC,protein binding
697,b4371,rsmC,methyltransferase activity
698,b4371,rsmC,methyltransferase activity
699,b4371,rsmC,rRNA methyltransferase activity
700,b4371,rsmC,S-adenosylmethionine-dependent methyltransferase activity
